No,Province,Name,Latitude,Longitude,Types,Link
1,Aceh,Mangrove Forest Tourism in Langsa City,4.521636,98.0162,ecotourism site,https://maps.app.goo.gl/Se8unpv3L7ED9ibm8
2,Bali,Eco Mangrove Kedonganan,-8.768417,115.1801,ecotourism site,https://maps.app.goo.gl/SnrJQHefa4oE7ru8A
3,Bali,Eco-Mangrove Segara Ayu,-8.765342,115.1806,ecotourism site,https://maps.app.goo.gl/g483KiXxpewUoWUV9
4,Bali,Mangrove Ecotourism Batu Lumbang,-8.733255,115.188,ecotourism site,https://maps.app.goo.gl/zCgtMfDYW9XgF66L7
5,Bali,Ngurah Rai Grand Forest Park,-8.743976,115.1846,ecotourism site,https://maps.app.goo.gl/YPqdECjKShvy8rHx5
6,Bangka Belitung,Belitung Mangrove Park,-2.771407,107.6191,ecotourism site,https://maps.app.goo.gl/vwWkJvSAkfwF4Kas9
7,Bangka Belitung,Gusong Bugis Eco Tourism,-2.765375,107.6121,ecotourism site,https://maps.app.goo.gl/1AvUYzf8mLDxNe9f7
8,Bangka Belitung,Juru Seberang Community Forest (HKm),-2.764355,107.6109,ecotourism site,https://maps.app.goo.gl/1DRJhfPtYTupNxxM7
9,Bangka Belitung,Munjang Mangrove Kurau Barat,-2.324781,106.2214,ecotourism site,https://maps.app.goo.gl/PKsst7E8Xom6AFhn9
10,Banten,Pulau Dua/Burung Nature Reserve,-6.017053,106.1941,attraction site,https://maps.app.goo.gl/xv7bBkHxS5BM2rvo7
11,Banten,Ujung Kulon National Park,-6.784694,105.3751,ecotourism site,https://maps.app.goo.gl/SBtpEyZjBnW6czDo9
12,Jakarta,"Mangrove Nature Tourism Park, Angke Kapuk",-6.10649,106.7369,ecotourism site,https://maps.app.goo.gl/UuyGDt3C2EByvUMv9
13,Jambi,Berbak National Park,-1.2868651,104.2396,ecotourism site,https://maps.app.goo.gl/SpUSNcW8bRWUoYp7A
14,Jambi,Saung Alas Mangrove Ecotourism,-6.022639,106.9969,attraction site,https://maps.app.goo.gl/DXBYEwf1s31Etjj38
15,Jambi,Blanakan Mangrove Pond Ecotourism,-6.263679,107.6647,attraction site,https://maps.app.goo.gl/8mc666RYD5Trn3Jw8
16,Jambi,Muara Blacan Mangrove Forest,-6.024626,107.0235,attraction site,https://maps.app.goo.gl/meYGLbzQ1cAThtuu7
17,Jawa Barat,Bloom Beach Mangrove Forest Ecotourism,-6.024533,106.9967,ecotourism site,https://maps.app.goo.gl/SPx5mqr1NBeNTB7F9
18,Jawa Tengah,Lembung Mangrove Ecotourism,-7.165048,113.5737,attraction site,https://maps.app.goo.gl/rLH9V55YYUX1THncA
19,Jawa Timur,"Labuhan Mangrove Education Park, Partner of Pertamina Hulu Energi Wmo",-6.886514,112.9928,attraction site,https://maps.app.goo.gl/pKzpBGuTf2m3uANX7
20,Jawa Timur,Mangrove Park 2,-6.885801,112.9822,attraction site,https://maps.app.goo.gl/xNPfpFMHKT5kvM7HA
21,Jawa Timur,Bedul Mangrove Ecotourism,-8.605017,114.276,ecotourism site,https://maps.app.goo.gl/ZyWVZDyHuU9scLBM7
22,Kalimantan Selatan,Pulau Bakut Nature Tourism Park,-3.215241,114.5576,ecotourism site,https://maps.app.goo.gl/Npm9vLDhviC1Q2XbA
23,Kalimantan Tengah,Tanjung Keluang,-2.905829,111.7063,ecotourism site,https://maps.app.goo.gl/p42PyoTBLMyuYz866
24,Kalimantan Timur,"Pantai Indah Teluk Kaba, East Kalimantan Indonesia",0.3160878,117.5236,attraction site,https://maps.app.goo.gl/5CBQCQaiCJ7QBY9K9
25,Kalimantan Timur,Bontang Mangrove Park,0.1456522,117.4976,ecotourism site,https://maps.app.goo.gl/oYmLyFdycVp8R5fa8
,Kalimantan Timur,Mangrove Airport Ecotourism,0.3942425,117.5546,ecotourism site,https://maps.app.goo.gl/eNJMNwPdUt4DnhPU6
26,Kalimantan Timur,"Mangrove Cultivation Ecotourism Area, CSR of PT. BADAK NGL",0.3877682,117.5636,ecotourism site,https://maps.app.goo.gl/Ro9W9ByVvWmAJEHy7
27,Maluku Utara,Maitara Tengah Mangrove Ecotourism,0.728751,127.3782,ecotourism site,https://maps.app.goo.gl/stpY8pgDMpUAqJP9A
28,Nusa Tenggara Barat,Mangrove Ecotourism & Birdwatching Area Gili Meno,-8.351133,116.0566,attraction site,https://maps.app.goo.gl/8UmxXsuEuEwsK7BJ9
29,Nusa Tenggara Timur,"Loh Buaya, Komodo National Park",-8.653757,119.7169,attraction site,https://maps.app.goo.gl/LroFf865yk4ifu6A6
30,Nusa Tenggara Timur,Mulut Seribu Beach,-10.561694,123.3726,attraction site,https://maps.app.goo.gl/F5uek2at4YxyDf2t8
31,Nusa Tenggara Timur,Litianak Beach,-10.755165,122.8999,attraction site,https://maps.app.goo.gl/yusGNyQ64xT7pmYK8
32,Nusa Tenggara Timur,Menipo Nature Tourism Park,-10.148512,124.1491,attraction site,https://maps.app.goo.gl/qAHyuvrbN7HnfucHA
33,Nusa Tenggara Timur,Komodo National Park,-8.527716,119.4833,ecotourism site,https://maps.app.goo.gl/E9VToudT2HjhHjkv7
34,Papua,Wagi Beach,-3.3808233,135.1236,attraction site,https://maps.app.goo.gl/mtffsPgoBcFWLfvo7
35,Papua,Pomako Mangrove Forest Ecotourism,-4.7977436,136.7697,ecotourism site,https://maps.app.goo.gl/AFQ6CUm9DgaGeBm46
36,Papua Barat,"Piaynemo, Raja Ampat",-0.5642076,130.2708,attraction site,https://maps.app.goo.gl/QucTNbne8mig2vHC7
37,Papua Barat,Sauwandarek Village,-0.5903592,130.6023,attraction site,https://maps.app.goo.gl/ZZgwmDmy4Gvxrow29
38,Sulawesi Tenggara,Wakatobi National Park,-5.563474,123.9304,ecotourism site,https://maps.app.goo.gl/ZLaxwoXVkp5ssEWs6
39,Sulawesi Utara,Batu Pinagut Beach Tourist Attraction,0.9202904,123.2694,attraction site,https://maps.app.goo.gl/djnWCfwfrerEYDEP6
40,Sulawesi Utara,Labkan Ratatokok Beach,0.9421813,124.725,attraction site,https://maps.app.goo.gl/jK28Q5H5vWJ92Wfx6
41,Sulawesi Utara,Tanjung Kamala Watuline,1.7277707,125.0225,attraction site,https://maps.app.goo.gl/oWkQ2ZX6PQ9Tg6haA
42,Sulawesi Utara,Bunaken National Marine Park,1.6758493,124.7647,ecotourism site,https://maps.app.goo.gl/x6DG9VqSWLXxA4j79
43,Sulawesi Utara,Bahoi Village Mangrove Ecotourism,1.7180599,125.02,ecotourism site,https://maps.app.goo.gl/3zDkmPRBA5gPGCGB6
44,Sulawesi Utara,Bahowo Mangrove Park,1.5809463,124.9184,ecotourism site,https://maps.app.goo.gl/MwYiaCevfeP4GhB86
45,Sumatera Barat,Ujuang Kapuri Beach,-1.124014821,100.3649632,attraction site,https://maps.app.goo.gl/cmxgozbtmzvXiDzYA
46,Sumatera Barat,Siberut Island National Park,-1.3174892,98.88196,attraction site,https://maps.app.goo.gl/2Co2proUd79uQTVU8
47,Sumatera Selatan,Sembilang National Park,-2.035627,104.6593,ecotourism site,https://maps.app.goo.gl/e1q1CdKWjhVTEyfw6
48,South Sulawesi,Tongke-tongke Mangrove Forest,-5.14840442,120.2728922,ecotourism site,https://maps.app.goo.gl/LhMZkk9j2N9Ac53B8
49,South Sulawesi,Panaikang Peninsula Mangrove Ecotourism,-5.160778874,120.2758108,ecotourism site,https://maps.app.goo.gl/wgFXp8MkwDXrvAmf6
50,Sumatera Selatan,Desa Ekowisata Sungsang,-2.357618405,104.8989453,ecotourism site,https://maps.app.goo.gl/u16gRZbQMnqxmgVt9
